"year_week","region","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-24","cases_15-24","inc_15-24","pop_25-44","cases_25-44","inc_25-44","pop_45-64","cases_45-64","inc_45-64","pop_65+","cases_65+","inc_65+"
"2024-45","Friuli-Venezia Giulia",24,201,29669,"6.77",NA,79,"22.03",NA,48,"6.47",NA,10,"5.08",NA,18,"3.84",NA,28,"4.4",NA,18,"3.19"
"2024-45","Lazio",179,1729,235819,"7.33",NA,250,"21.04",NA,210,"7.19",NA,147,"6.71",NA,404,"8.7",NA,471,"6.73",NA,247,"4.38"
"2024-45","Liguria",43,304,60150,"5.05",NA,21,"14.86",NA,11,"2.95",NA,28,"5.06",NA,99,"8.04",NA,95,"5.06",NA,50,"2.72"
"2024-45","Lombardy",299,3372,424343,"7.95",NA,597,"24.28",NA,407,"6.49",NA,296,"7.56",NA,849,"9.82",NA,812,"6.92",NA,411,"4.37"
"2024-45","Marche",22,224,27812,"8.05",NA,66,"22.44",NA,37,"5.2",NA,16,"7.66",NA,44,"9.68",NA,42,"6.65",NA,19,"3.96"
"2024-45","Molise",12,53,12079,"4.39",NA,7,"20",NA,3,"3.5",NA,4,"3.63",NA,13,"4.94",NA,17,"4.23",NA,9,"2.89"
"2024-45","Piedmont",73,964,105436,"9.14",NA,79,"18.42",NA,85,"6.95",NA,107,"11.82",NA,253,"11.56",NA,262,"8.8",NA,178,"6.31"
"2024-45","AP Bolzano",4,18,6265,"2.87",NA,0,NA,NA,0,"0",NA,4,"5.38",NA,8,"4.67",NA,4,"2.03",NA,2,"1.15"
"2024-45","AP Trento",11,91,14341,"6.35",NA,18,"24.46",NA,9,"5.99",NA,8,"5.27",NA,25,"8.74",NA,24,"5.77",NA,7,"1.97"
"2024-45","Apulia",101,1130,136222,"8.3",NA,167,"26.6",NA,114,"7.68",NA,122,"8.95",NA,243,"8.31",NA,240,"6.14",NA,244,"7.36"
"2024-45","Sardinia",11,126,14819,"8.5",NA,27,"44.93",NA,27,"18.42",NA,11,"7.7",NA,14,"4.68",NA,34,"7.04",NA,13,"3.71"
"2024-45","Sicily",117,1124,147759,"7.61",NA,172,"25.25",NA,150,"9.56",NA,129,"9.19",NA,212,"6.5",NA,256,"6.13",NA,205,"5.57"
"2024-45","Tuscany",41,418,60084,"6.96",NA,59,"20.19",NA,43,"5.53",NA,44,"7.62",NA,125,"10.13",NA,94,"5.58",NA,53,"3.67"
"2024-45","Umbria",8,62,9032,"6.86",NA,11,"15.3",NA,8,"6.24",NA,6,"7.61",NA,15,"7.94",NA,14,"6.14",NA,8,"3.86"
"2024-45","Aosta Valley",7,46,9091,"5.06",NA,8,"12.18",NA,9,"8.05",NA,2,"2.04",NA,11,"7.27",NA,11,"4.21",NA,5,"2.26"
"2024-45","Veneto",59,583,80624,"7.23",NA,120,"26.86",NA,67,"5.67",NA,50,"6.89",NA,143,"9.14",NA,149,"6.79",NA,54,"2.77"
