"flu_season","year_week","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2012-2013","2012-46","FLU A",1,2,0
"2012-2013","2012-46","A",1,0,0
"2012-2013","2012-46","A(H3N2)",1,1,0
"2012-2013","2012-46","A(H1N1) pdm09",1,1,0
"2012-2013","2012-46","FLU B",1,0,0
"2012-2013","2012-47","FLU A",52,1,0
"2012-2013","2012-47","A",52,0,0
"2012-2013","2012-47","A(H3N2)",52,0,0
"2012-2013","2012-47","A(H1N1) pdm09",52,1,0
"2012-2013","2012-47","FLU B",52,0,0
"2012-2013","2012-48","FLU A",0,2,0
"2012-2013","2012-48","A",0,0,0
"2012-2013","2012-48","A(H3N2)",0,2,0
"2012-2013","2012-48","A(H1N1) pdm09",0,0,0
"2012-2013","2012-48","FLU B",0,4,0
"2012-2013","2012-49","FLU A",55,0,0
"2012-2013","2012-49","A",55,0,0
"2012-2013","2012-49","A(H3N2)",55,0,0
"2012-2013","2012-49","A(H1N1) pdm09",55,0,0
"2012-2013","2012-49","FLU B",55,1,0
"2012-2013","2012-50","FLU A",70,3,0
"2012-2013","2012-50","A",70,1,0
"2012-2013","2012-50","A(H3N2)",70,1,0
"2012-2013","2012-50","A(H1N1) pdm09",70,1,0
"2012-2013","2012-50","FLU B",70,10,0
"2012-2013","2012-51","FLU A",68,1,0
"2012-2013","2012-51","A",68,0,0
"2012-2013","2012-51","A(H3N2)",68,1,0
"2012-2013","2012-51","A(H1N1) pdm09",68,0,0
"2012-2013","2012-51","FLU B",68,10,0
"2012-2013","2012-52","FLU A",20,2,0
"2012-2013","2012-52","A",20,0,0
"2012-2013","2012-52","A(H3N2)",20,1,0
"2012-2013","2012-52","A(H1N1) pdm09",20,1,0
"2012-2013","2012-52","FLU B",20,10,0
"2012-2013","2013-01","FLU A",57,18,0
"2012-2013","2013-01","A",57,1,0
"2012-2013","2013-01","A(H3N2)",57,6,0
"2012-2013","2013-01","A(H1N1) pdm09",57,11,0
"2012-2013","2013-01","FLU B",57,23,0
"2012-2013","2013-02","FLU A",195,31,0
"2012-2013","2013-02","A",195,2,0
"2012-2013","2013-02","A(H3N2)",195,4,0
"2012-2013","2013-02","A(H1N1) pdm09",195,25,0
"2012-2013","2013-02","FLU B",195,28,0
"2012-2013","2013-03","FLU A",267,41,0
"2012-2013","2013-03","A",267,3,0
"2012-2013","2013-03","A(H3N2)",267,3,0
"2012-2013","2013-03","A(H1N1) pdm09",267,35,0
"2012-2013","2013-03","FLU B",267,55,0
"2012-2013","2013-04","FLU A",297,43,0
"2012-2013","2013-04","A",297,2,0
"2012-2013","2013-04","A(H3N2)",297,7,0
"2012-2013","2013-04","A(H1N1) pdm09",297,34,0
"2012-2013","2013-04","FLU B",297,91,0
"2012-2013","2013-05","FLU A",374,82,0
"2012-2013","2013-05","A",374,5,0
"2012-2013","2013-05","A(H3N2)",374,10,0
"2012-2013","2013-05","A(H1N1) pdm09",374,67,0
"2012-2013","2013-05","FLU B",374,145,0
"2012-2013","2013-06","FLU A",379,92,0
"2012-2013","2013-06","A",379,6,0
"2012-2013","2013-06","A(H3N2)",379,8,0
"2012-2013","2013-06","A(H1N1) pdm09",379,78,0
"2012-2013","2013-06","FLU B",379,163,0
"2012-2013","2013-07","FLU A",467,105,0
"2012-2013","2013-07","A",467,0,0
"2012-2013","2013-07","A(H3N2)",467,5,0
"2012-2013","2013-07","A(H1N1) pdm09",467,100,0
"2012-2013","2013-07","FLU B",467,155,0
"2012-2013","2013-08","FLU A",380,83,0
"2012-2013","2013-08","A",380,6,0
"2012-2013","2013-08","A(H3N2)",380,9,0
"2012-2013","2013-08","A(H1N1) pdm09",380,68,0
"2012-2013","2013-08","FLU B",380,189,0
"2012-2013","2013-09","FLU A",351,121,0
"2012-2013","2013-09","A",351,10,0
"2012-2013","2013-09","A(H3N2)",351,11,0
"2012-2013","2013-09","A(H1N1) pdm09",351,100,0
"2012-2013","2013-09","FLU B",351,125,0
"2012-2013","2013-10","FLU A",304,107,0
"2012-2013","2013-10","A",304,9,0
"2012-2013","2013-10","A(H3N2)",304,20,0
"2012-2013","2013-10","A(H1N1) pdm09",304,78,0
"2012-2013","2013-10","FLU B",304,85,0
"2012-2013","2013-11","FLU A",273,66,0
"2012-2013","2013-11","A",273,7,0
"2012-2013","2013-11","A(H3N2)",273,11,0
"2012-2013","2013-11","A(H1N1) pdm09",273,48,0
"2012-2013","2013-11","FLU B",273,55,0
"2012-2013","2013-12","FLU A",257,45,0
"2012-2013","2013-12","A",257,0,0
"2012-2013","2013-12","A(H3N2)",257,7,0
"2012-2013","2013-12","A(H1N1) pdm09",257,38,0
"2012-2013","2013-12","FLU B",257,46,0
"2012-2013","2013-13","FLU A",104,35,0
"2012-2013","2013-13","A",104,8,0
"2012-2013","2013-13","A(H3N2)",104,6,0
"2012-2013","2013-13","A(H1N1) pdm09",104,21,0
"2012-2013","2013-13","FLU B",104,21,0
"2012-2013","2013-14","FLU A",94,10,0
"2012-2013","2013-14","A",94,2,0
"2012-2013","2013-14","A(H3N2)",94,2,0
"2012-2013","2013-14","A(H1N1) pdm09",94,6,0
"2012-2013","2013-14","FLU B",94,9,0
"2012-2013","2013-15","FLU A",90,4,0
"2012-2013","2013-15","A",90,1,0
"2012-2013","2013-15","A(H3N2)",90,1,0
"2012-2013","2013-15","A(H1N1) pdm09",90,2,0
"2012-2013","2013-15","FLU B",90,0,0
"2012-2013","2013-16","FLU A",53,2,0
"2012-2013","2013-16","A",53,1,0
"2012-2013","2013-16","A(H3N2)",53,0,0
"2012-2013","2013-16","A(H1N1) pdm09",53,1,0
"2012-2013","2013-16","FLU B",53,1,0
"2012-2013","2013-17","FLU A",70,1,0
"2012-2013","2013-17","A",70,1,0
"2012-2013","2013-17","A(H3N2)",70,0,0
"2012-2013","2013-17","A(H1N1) pdm09",70,0,0
"2012-2013","2013-17","FLU B",70,0,0
"2013-2014","2013-46","FLU A",133,0,0
"2013-2014","2013-46","A",133,0,0
"2013-2014","2013-46","A(H3N2)",133,0,0
"2013-2014","2013-46","A(H1N1) pdm09",133,0,0
"2013-2014","2013-46","FLU B",133,0,0
"2013-2014","2013-47","FLU A",64,0,0
"2013-2014","2013-47","A",64,0,0
"2013-2014","2013-47","A(H3N2)",64,0,0
"2013-2014","2013-47","A(H1N1) pdm09",64,0,0
"2013-2014","2013-47","FLU B",64,0,0
"2013-2014","2013-48","FLU A",24,2,0
"2013-2014","2013-48","A",24,0,0
"2013-2014","2013-48","A(H3N2)",24,2,0
"2013-2014","2013-48","A(H1N1) pdm09",24,0,0
"2013-2014","2013-48","FLU B",24,0,0
"2013-2014","2013-49","FLU A",65,6,0
"2013-2014","2013-49","A",65,0,0
"2013-2014","2013-49","A(H3N2)",65,6,0
"2013-2014","2013-49","A(H1N1) pdm09",65,0,0
"2013-2014","2013-49","FLU B",65,0,0
"2013-2014","2013-50","FLU A",65,9,0
"2013-2014","2013-50","A",65,0,0
"2013-2014","2013-50","A(H3N2)",65,9,0
"2013-2014","2013-50","A(H1N1) pdm09",65,0,0
"2013-2014","2013-50","FLU B",65,0,0
"2013-2014","2013-51","FLU A",87,10,0
"2013-2014","2013-51","A",87,0,0
"2013-2014","2013-51","A(H3N2)",87,8,0
"2013-2014","2013-51","A(H1N1) pdm09",87,2,0
"2013-2014","2013-51","FLU B",87,0,0
"2013-2014","2013-52","FLU A",51,10,0
"2013-2014","2013-52","A",51,0,0
"2013-2014","2013-52","A(H3N2)",51,10,0
"2013-2014","2013-52","A(H1N1) pdm09",51,0,0
"2013-2014","2013-52","FLU B",51,1,0
"2013-2014","2014-01","FLU A",51,20,0
"2013-2014","2014-01","A",80,1,0
"2013-2014","2014-01","A(H3N2)",80,16,0
"2013-2014","2014-01","A(H1N1) pdm09",80,3,0
"2013-2014","2014-01","FLU B",80,0,0
"2013-2014","2014-02","FLU A",169,34,0
"2013-2014","2014-02","A",169,1,0
"2013-2014","2014-02","A(H3N2)",169,21,0
"2013-2014","2014-02","A(H1N1) pdm09",169,12,0
"2013-2014","2014-02","FLU B",169,1,0
"2013-2014","2014-03","FLU A",0,63,0
"2013-2014","2014-03","A",0,6,0
"2013-2014","2014-03","A(H3N2)",0,42,0
"2013-2014","2014-03","A(H1N1) pdm09",0,15,0
"2013-2014","2014-03","FLU B",0,3,0
"2013-2014","2014-04","FLU A",211,68,0
"2013-2014","2014-04","A",211,3,0
"2013-2014","2014-04","A(H3N2)",211,41,0
"2013-2014","2014-04","A(H1N1) pdm09",211,24,0
"2013-2014","2014-04","FLU B",211,3,0
"2013-2014","2014-05","FLU A",227,95,0
"2013-2014","2014-05","A",227,5,0
"2013-2014","2014-05","A(H3N2)",227,62,0
"2013-2014","2014-05","A(H1N1) pdm09",227,28,0
"2013-2014","2014-05","FLU B",227,1,0
"2013-2014","2014-06","FLU A",296,143,0
"2013-2014","2014-06","A",296,11,0
"2013-2014","2014-06","A(H3N2)",296,81,0
"2013-2014","2014-06","A(H1N1) pdm09",296,51,0
"2013-2014","2014-06","FLU B",296,6,0
"2013-2014","2014-07","FLU A",241,103,0
"2013-2014","2014-07","A",241,3,0
"2013-2014","2014-07","A(H3N2)",241,54,0
"2013-2014","2014-07","A(H1N1) pdm09",241,46,0
"2013-2014","2014-07","FLU B",241,4,0
"2013-2014","2014-08","FLU A",310,117,0
"2013-2014","2014-08","A",310,7,0
"2013-2014","2014-08","A(H3N2)",310,67,0
"2013-2014","2014-08","A(H1N1) pdm09",310,43,0
"2013-2014","2014-08","FLU B",310,3,0
"2013-2014","2014-09","FLU A",200,107,0
"2013-2014","2014-09","A",200,13,0
"2013-2014","2014-09","A(H3N2)",200,52,0
"2013-2014","2014-09","A(H1N1) pdm09",200,42,0
"2013-2014","2014-09","FLU B",200,4,0
"2013-2014","2014-10","FLU A",246,74,0
"2013-2014","2014-10","A",246,5,0
"2013-2014","2014-10","A(H3N2)",246,45,0
"2013-2014","2014-10","A(H1N1) pdm09",246,24,0
"2013-2014","2014-10","FLU B",246,6,0
"2013-2014","2014-11","FLU A",179,56,0
"2013-2014","2014-11","A",179,4,0
"2013-2014","2014-11","A(H3N2)",179,26,0
"2013-2014","2014-11","A(H1N1) pdm09",179,26,0
"2013-2014","2014-11","FLU B",179,2,0
"2013-2014","2014-12","FLU A",132,32,0
"2013-2014","2014-12","A",132,3,0
"2013-2014","2014-12","A(H3N2)",132,18,0
"2013-2014","2014-12","A(H1N1) pdm09",132,11,0
"2013-2014","2014-12","FLU B",132,0,0
"2013-2014","2014-13","FLU A",130,28,0
"2013-2014","2014-13","A",130,3,0
"2013-2014","2014-13","A(H3N2)",130,13,0
"2013-2014","2014-13","A(H1N1) pdm09",130,12,0
"2013-2014","2014-13","FLU B",130,0,0
"2013-2014","2014-14","FLU A",81,14,0
"2013-2014","2014-14","A",81,3,0
"2013-2014","2014-14","A(H3N2)",81,6,0
"2013-2014","2014-14","A(H1N1) pdm09",81,5,0
"2013-2014","2014-14","FLU B",81,0,0
"2013-2014","2014-15","FLU A",77,3,0
"2013-2014","2014-15","A",77,0,0
"2013-2014","2014-15","A(H3N2)",77,1,0
"2013-2014","2014-15","A(H1N1) pdm09",77,2,0
"2013-2014","2014-15","FLU B",77,0,0
"2013-2014","2014-16","FLU A",52,5,0
"2013-2014","2014-16","A",52,1,0
"2013-2014","2014-16","A(H3N2)",52,2,0
"2013-2014","2014-16","A(H1N1) pdm09",52,2,0
"2013-2014","2014-16","FLU B",52,0,0
"2013-2014","2014-17","FLU A",48,0,0
"2013-2014","2014-17","A",48,0,0
"2013-2014","2014-17","A(H3N2)",48,0,0
"2013-2014","2014-17","A(H1N1) pdm09",48,0,0
"2013-2014","2014-17","FLU B",48,0,0
"2014-2015","2014-46","FLU A",66,1,0
"2014-2015","2014-46","A",66,0,0
"2014-2015","2014-46","A(H3N2)",66,1,0
"2014-2015","2014-46","A(H1N1) pdm09",66,0,0
"2014-2015","2014-46","FLU B",66,0,0
"2014-2015","2014-47","FLU A",58,4,0
"2014-2015","2014-47","A",58,0,0
"2014-2015","2014-47","A(H3N2)",58,1,0
"2014-2015","2014-47","A(H1N1) pdm09",58,3,0
"2014-2015","2014-47","FLU B",58,0,0
"2014-2015","2014-48","FLU A",60,0,0
"2014-2015","2014-48","A",60,0,0
"2014-2015","2014-48","A(H3N2)",60,0,0
"2014-2015","2014-48","A(H1N1) pdm09",60,0,0
"2014-2015","2014-48","FLU B",60,0,0
"2014-2015","2014-49","FLU A",85,6,0
"2014-2015","2014-49","A",85,0,0
"2014-2015","2014-49","A(H3N2)",85,2,0
"2014-2015","2014-49","A(H1N1) pdm09",85,4,0
"2014-2015","2014-49","FLU B",85,0,0
"2014-2015","2014-50","FLU A",85,15,0
"2014-2015","2014-50","A",85,1,0
"2014-2015","2014-50","A(H3N2)",85,5,0
"2014-2015","2014-50","A(H1N1) pdm09",85,9,0
"2014-2015","2014-50","FLU B",85,2,0
"2014-2015","2014-51","FLU A",132,40,0
"2014-2015","2014-51","A",132,2,0
"2014-2015","2014-51","A(H3N2)",132,11,0
"2014-2015","2014-51","A(H1N1) pdm09",132,27,0
"2014-2015","2014-51","FLU B",132,0,0
"2014-2015","2014-52","FLU A",51,25,0
"2014-2015","2014-52","A",51,0,0
"2014-2015","2014-52","A(H3N2)",51,7,0
"2014-2015","2014-52","A(H1N1) pdm09",51,18,0
"2014-2015","2014-52","FLU B",51,2,0
"2014-2015","2015-01","FLU A",174,85,0
"2014-2015","2015-01","A",174,10,0
"2014-2015","2015-01","A(H3N2)",174,12,0
"2014-2015","2015-01","A(H1N1) pdm09",174,63,0
"2014-2015","2015-01","FLU B",174,5,0
"2014-2015","2015-02","FLU A",377,186,0
"2014-2015","2015-02","A",377,12,0
"2014-2015","2015-02","A(H3N2)",377,29,0
"2014-2015","2015-02","A(H1N1) pdm09",377,145,0
"2014-2015","2015-02","FLU B",377,7,0
"2014-2015","2015-03","FLU A",617,384,0
"2014-2015","2015-03","A",617,11,0
"2014-2015","2015-03","A(H3N2)",617,108,0
"2014-2015","2015-03","A(H1N1) pdm09",617,265,0
"2014-2015","2015-03","FLU B",617,17,0
"2014-2015","2015-04","FLU A",878,514,0
"2014-2015","2015-04","A",878,36,0
"2014-2015","2015-04","A(H3N2)",878,158,0
"2014-2015","2015-04","A(H1N1) pdm09",878,320,0
"2014-2015","2015-04","FLU B",878,19,0
"2014-2015","2015-05","FLU A",835,486,0
"2014-2015","2015-05","A",835,23,0
"2014-2015","2015-05","A(H3N2)",835,206,0
"2014-2015","2015-05","A(H1N1) pdm09",835,257,0
"2014-2015","2015-05","FLU B",835,40,0
"2014-2015","2015-06","FLU A",762,438,0
"2014-2015","2015-06","A",762,27,0
"2014-2015","2015-06","A(H3N2)",762,212,0
"2014-2015","2015-06","A(H1N1) pdm09",762,199,0
"2014-2015","2015-06","FLU B",762,47,0
"2014-2015","2015-07","FLU A",841,332,0
"2014-2015","2015-07","A",841,25,0
"2014-2015","2015-07","A(H3N2)",841,179,0
"2014-2015","2015-07","A(H1N1) pdm09",841,128,0
"2014-2015","2015-07","FLU B",841,45,0
"2014-2015","2015-08","FLU A",702,220,0
"2014-2015","2015-08","A",702,18,0
"2014-2015","2015-08","A(H3N2)",702,137,0
"2014-2015","2015-08","A(H1N1) pdm09",702,65,0
"2014-2015","2015-08","FLU B",702,45,0
"2014-2015","2015-09","FLU A",556,137,0
"2014-2015","2015-09","A",556,19,0
"2014-2015","2015-09","A(H3N2)",556,88,0
"2014-2015","2015-09","A(H1N1) pdm09",556,30,0
"2014-2015","2015-09","FLU B",556,64,0
"2014-2015","2015-10","FLU A",438,94,0
"2014-2015","2015-10","A",438,13,0
"2014-2015","2015-10","A(H3N2)",438,49,0
"2014-2015","2015-10","A(H1N1) pdm09",438,32,0
"2014-2015","2015-10","FLU B",438,70,0
"2014-2015","2015-11","FLU A",321,54,0
"2014-2015","2015-11","A",321,11,0
"2014-2015","2015-11","A(H3N2)",321,27,0
"2014-2015","2015-11","A(H1N1) pdm09",321,16,0
"2014-2015","2015-11","FLU B",321,61,0
"2014-2015","2015-12","FLU A",267,34,0
"2014-2015","2015-12","A",267,5,0
"2014-2015","2015-12","A(H3N2)",267,21,0
"2014-2015","2015-12","A(H1N1) pdm09",267,8,0
"2014-2015","2015-12","FLU B",267,51,0
"2014-2015","2015-13","FLU A",278,29,0
"2014-2015","2015-13","A",278,7,0
"2014-2015","2015-13","A(H3N2)",278,15,0
"2014-2015","2015-13","A(H1N1) pdm09",278,7,0
"2014-2015","2015-13","FLU B",278,50,0
"2014-2015","2015-14","FLU A",183,15,0
"2014-2015","2015-14","A",183,2,0
"2014-2015","2015-14","A(H3N2)",183,9,0
"2014-2015","2015-14","A(H1N1) pdm09",183,4,0
"2014-2015","2015-14","FLU B",183,35,0
"2014-2015","2015-15","FLU A",149,6,0
"2014-2015","2015-15","A",149,3,0
"2014-2015","2015-15","A(H3N2)",149,2,0
"2014-2015","2015-15","A(H1N1) pdm09",149,1,0
"2014-2015","2015-15","FLU B",149,22,0
"2014-2015","2015-16","FLU A",142,6,0
"2014-2015","2015-16","A",142,1,0
"2014-2015","2015-16","A(H3N2)",142,1,0
"2014-2015","2015-16","A(H1N1) pdm09",142,4,0
"2014-2015","2015-16","FLU B",142,15,0
"2014-2015","2015-17","FLU A",105,1,0
"2014-2015","2015-17","A",105,0,0
"2014-2015","2015-17","A(H3N2)",105,0,0
"2014-2015","2015-17","A(H1N1) pdm09",105,1,0
"2014-2015","2015-17","FLU B",105,3,0
"2015-2016","2015-46","FLU A",101,0,0
"2015-2016","2015-46","A",101,0,0
"2015-2016","2015-46","A(H3N2)",101,0,0
"2015-2016","2015-46","A(H1N1) pdm09",101,0,0
"2015-2016","2015-46","FLU B",101,0,0
"2015-2016","2015-47","FLU A",111,0,0
"2015-2016","2015-47","A",111,0,0
"2015-2016","2015-47","A(H3N2)",111,0,0
"2015-2016","2015-47","A(H1N1) pdm09",111,0,0
"2015-2016","2015-47","FLU B",111,0,0
"2015-2016","2015-48","FLU A",114,1,0
"2015-2016","2015-48","A",114,0,0
"2015-2016","2015-48","A(H3N2)",114,1,0
"2015-2016","2015-48","A(H1N1) pdm09",114,0,0
"2015-2016","2015-48","FLU B",114,0,0
"2015-2016","2015-49","FLU A",146,2,0
"2015-2016","2015-49","A",146,1,0
"2015-2016","2015-49","A(H3N2)",146,1,0
"2015-2016","2015-49","A(H1N1) pdm09",146,0,0
"2015-2016","2015-49","FLU B",146,2,0
"2015-2016","2015-50","FLU A",150,3,0
"2015-2016","2015-50","A",150,0,0
"2015-2016","2015-50","A(H3N2)",150,2,0
"2015-2016","2015-50","A(H1N1) pdm09",150,1,0
"2015-2016","2015-50","FLU B",150,0,0
"2015-2016","2015-51","FLU A",166,6,0
"2015-2016","2015-51","A",166,0,0
"2015-2016","2015-51","A(H3N2)",166,2,0
"2015-2016","2015-51","A(H1N1) pdm09",166,4,0
"2015-2016","2015-51","FLU B",166,1,0
"2015-2016","2015-52","FLU A",116,10,0
"2015-2016","2015-52","A",116,0,0
"2015-2016","2015-52","A(H3N2)",116,3,0
"2015-2016","2015-52","A(H1N1) pdm09",116,7,0
"2015-2016","2015-52","FLU B",116,0,0
"2015-2016","2015-53","FLU A",123,11,0
"2015-2016","2015-53","A",123,1,0
"2015-2016","2015-53","A(H3N2)",123,6,0
"2015-2016","2015-53","A(H1N1) pdm09",123,4,0
"2015-2016","2015-53","FLU B",123,0,0
"2015-2016","2016-01","FLU A",210,11,0
"2015-2016","2016-01","A",210,2,0
"2015-2016","2016-01","A(H3N2)",210,6,0
"2015-2016","2016-01","A(H1N1) pdm09",210,3,0
"2015-2016","2016-01","FLU B",210,3,0
"2015-2016","2016-02","FLU A",255,27,0
"2015-2016","2016-02","A",255,5,0
"2015-2016","2016-02","A(H3N2)",255,7,0
"2015-2016","2016-02","A(H1N1) pdm09",255,15,0
"2015-2016","2016-02","FLU B",255,19,0
"2015-2016","2016-03","FLU A",307,30,0
"2015-2016","2016-03","A",307,1,0
"2015-2016","2016-03","A(H3N2)",307,13,0
"2015-2016","2016-03","A(H1N1) pdm09",307,16,0
"2015-2016","2016-03","FLU B",307,34,0
"2015-2016","2016-04","FLU A",463,78,0
"2015-2016","2016-04","A",463,9,0
"2015-2016","2016-04","A(H3N2)",463,40,0
"2015-2016","2016-04","A(H1N1) pdm09",463,29,0
"2015-2016","2016-04","FLU B",463,102,0
"2015-2016","2016-05","FLU A",530,95,0
"2015-2016","2016-05","A",530,7,0
"2015-2016","2016-05","A(H3N2)",530,49,0
"2015-2016","2016-05","A(H1N1) pdm09",530,39,0
"2015-2016","2016-05","FLU B",530,133,0
"2015-2016","2016-06","FLU A",638,119,0
"2015-2016","2016-06","A",638,5,0
"2015-2016","2016-06","A(H3N2)",638,74,0
"2015-2016","2016-06","A(H1N1) pdm09",638,40,0
"2015-2016","2016-06","FLU B",638,137,0
"2015-2016","2016-07","FLU A",577,107,0
"2015-2016","2016-07","A",577,5,0
"2015-2016","2016-07","A(H3N2)",577,73,0
"2015-2016","2016-07","A(H1N1) pdm09",577,29,0
"2015-2016","2016-07","FLU B",577,154,0
"2015-2016","2016-08","FLU A",629,123,0
"2015-2016","2016-08","A",629,6,0
"2015-2016","2016-08","A(H3N2)",629,81,0
"2015-2016","2016-08","A(H1N1) pdm09",629,36,0
"2015-2016","2016-08","FLU B",629,197,0
"2015-2016","2016-09","FLU A",544,105,0
"2015-2016","2016-09","A",544,11,0
"2015-2016","2016-09","A(H3N2)",544,54,0
"2015-2016","2016-09","A(H1N1) pdm09",544,40,0
"2015-2016","2016-09","FLU B",544,152,0
"2015-2016","2016-10","FLU A",519,82,0
"2015-2016","2016-10","A",519,6,0
"2015-2016","2016-10","A(H3N2)",519,59,0
"2015-2016","2016-10","A(H1N1) pdm09",519,17,0
"2015-2016","2016-10","FLU B",519,110,0
"2015-2016","2016-11","FLU A",396,77,0
"2015-2016","2016-11","A",396,4,0
"2015-2016","2016-11","A(H3N2)",396,47,0
"2015-2016","2016-11","A(H1N1) pdm09",396,26,0
"2015-2016","2016-11","FLU B",396,116,0
"2015-2016","2016-12","FLU A",315,51,0
"2015-2016","2016-12","A",315,5,0
"2015-2016","2016-12","A(H3N2)",315,26,0
"2015-2016","2016-12","A(H1N1) pdm09",315,20,0
"2015-2016","2016-12","FLU B",315,86,0
"2015-2016","2016-13","FLU A",252,42,0
"2015-2016","2016-13","A",252,14,0
"2015-2016","2016-13","A(H3N2)",252,15,0
"2015-2016","2016-13","A(H1N1) pdm09",252,13,0
"2015-2016","2016-13","FLU B",252,71,0
"2015-2016","2016-14","FLU A",234,32,0
"2015-2016","2016-14","A",234,7,0
"2015-2016","2016-14","A(H3N2)",234,11,0
"2015-2016","2016-14","A(H1N1) pdm09",234,14,0
"2015-2016","2016-14","FLU B",234,35,0
"2015-2016","2016-15","FLU A",208,24,0
"2015-2016","2016-15","A",208,1,0
"2015-2016","2016-15","A(H3N2)",208,17,0
"2015-2016","2016-15","A(H1N1) pdm09",208,6,0
"2015-2016","2016-15","FLU B",208,31,0
"2015-2016","2016-16","FLU A",164,7,0
"2015-2016","2016-16","A",164,3,0
"2015-2016","2016-16","A(H3N2)",164,3,0
"2015-2016","2016-16","A(H1N1) pdm09",164,1,0
"2015-2016","2016-16","FLU B",164,19,0
"2016-2017","2016-46","FLU A",184,12,0
"2016-2017","2016-46","A",184,0,0
"2016-2017","2016-46","A(H3N2)",184,12,0
"2016-2017","2016-46","A(H1N1) pdm09",184,0,0
"2016-2017","2016-46","FLU B",184,0,0
"2016-2017","2016-47","FLU A",182,22,0
"2016-2017","2016-47","A",182,0,0
"2016-2017","2016-47","A(H3N2)",182,21,0
"2016-2017","2016-47","A(H1N1) pdm09",182,1,0
"2016-2017","2016-47","FLU B",182,2,0
"2016-2017","2016-48","FLU A",233,51,0
"2016-2017","2016-48","A",233,0,0
"2016-2017","2016-48","A(H3N2)",233,51,0
"2016-2017","2016-48","A(H1N1) pdm09",233,0,0
"2016-2017","2016-48","FLU B",233,0,0
"2016-2017","2016-49","FLU A",199,82,0
"2016-2017","2016-49","A",199,1,0
"2016-2017","2016-49","A(H3N2)",199,78,0
"2016-2017","2016-49","A(H1N1) pdm09",199,3,0
"2016-2017","2016-49","FLU B",199,0,0
"2016-2017","2016-50","FLU A",410,156,0
"2016-2017","2016-50","A",410,6,0
"2016-2017","2016-50","A(H3N2)",410,150,0
"2016-2017","2016-50","A(H1N1) pdm09",410,0,0
"2016-2017","2016-50","FLU B",410,1,0
"2016-2017","2016-51","FLU A",521,273,0
"2016-2017","2016-51","A",521,18,0
"2016-2017","2016-51","A(H3N2)",521,247,0
"2016-2017","2016-51","A(H1N1) pdm09",521,8,0
"2016-2017","2016-51","FLU B",521,0,0
"2016-2017","2016-52","FLU A",568,363,0
"2016-2017","2016-52","A",568,21,0
"2016-2017","2016-52","A(H3N2)",568,337,0
"2016-2017","2016-52","A(H1N1) pdm09",568,5,0
"2016-2017","2016-52","FLU B",568,0,0
"2016-2017","2017-01","FLU A",648,409,0
"2016-2017","2017-01","A",648,17,0
"2016-2017","2017-01","A(H3N2)",648,389,0
"2016-2017","2017-01","A(H1N1) pdm09",648,3,0
"2016-2017","2017-01","FLU B",648,2,0
"2016-2017","2017-02","FLU A",834,443,0
"2016-2017","2017-02","A",834,27,0
"2016-2017","2017-02","A(H3N2)",834,411,0
"2016-2017","2017-02","A(H1N1) pdm09",834,5,0
"2016-2017","2017-02","FLU B",834,9,0
"2016-2017","2017-03","FLU A",810,439,0
"2016-2017","2017-03","A",810,24,0
"2016-2017","2017-03","A(H3N2)",810,407,0
"2016-2017","2017-03","A(H1N1) pdm09",810,8,0
"2016-2017","2017-03","FLU B",810,3,0
"2016-2017","2017-04","FLU A",848,383,0
"2016-2017","2017-04","A",848,27,0
"2016-2017","2017-04","A(H3N2)",848,355,0
"2016-2017","2017-04","A(H1N1) pdm09",848,1,0
"2016-2017","2017-04","FLU B",848,10,0
"2016-2017","2017-05","FLU A",638,332,0
"2016-2017","2017-05","A",638,32,0
"2016-2017","2017-05","A(H3N2)",638,299,0
"2016-2017","2017-05","A(H1N1) pdm09",638,1,0
"2016-2017","2017-05","FLU B",638,13,0
"2016-2017","2017-06","FLU A",615,176,0
"2016-2017","2017-06","A",615,5,0
"2016-2017","2017-06","A(H3N2)",615,169,0
"2016-2017","2017-06","A(H1N1) pdm09",615,2,0
"2016-2017","2017-06","FLU B",615,14,0
"2016-2017","2017-07","FLU A",486,98,0
"2016-2017","2017-07","A",486,1,0
"2016-2017","2017-07","A(H3N2)",486,93,0
"2016-2017","2017-07","A(H1N1) pdm09",486,4,0
"2016-2017","2017-07","FLU B",486,27,0
"2016-2017","2017-08","FLU A",506,52,0
"2016-2017","2017-08","A",506,2,0
"2016-2017","2017-08","A(H3N2)",506,50,0
"2016-2017","2017-08","A(H1N1) pdm09",506,0,0
"2016-2017","2017-08","FLU B",506,18,0
"2016-2017","2017-09","FLU A",343,18,0
"2016-2017","2017-09","A",343,4,0
"2016-2017","2017-09","A(H3N2)",343,13,0
"2016-2017","2017-09","A(H1N1) pdm09",343,1,0
"2016-2017","2017-09","FLU B",343,24,0
"2016-2017","2017-10","FLU A",392,15,0
"2016-2017","2017-10","A",392,3,0
"2016-2017","2017-10","A(H3N2)",392,11,0
"2016-2017","2017-10","A(H1N1) pdm09",392,1,0
"2016-2017","2017-10","FLU B",392,18,0
"2016-2017","2017-11","FLU A",309,7,0
"2016-2017","2017-11","A",309,0,0
"2016-2017","2017-11","A(H3N2)",309,7,0
"2016-2017","2017-11","A(H1N1) pdm09",309,0,0
"2016-2017","2017-11","FLU B",309,14,0
"2016-2017","2017-12","FLU A",250,4,0
"2016-2017","2017-12","A",250,0,0
